Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.5952 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.6159 ms; Backtracki: 9;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.5786 ms; Backtracki: 10;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.5750 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.60; Czas: 2.0099 ms; Backtracki: 16;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.60; Czas: 1.9838 ms; Backtracki: 19;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.60; Czas: 1.9529 ms; Backtracki: 23;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.60; Czas: 2.0208 ms; Backtracki: 20;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.60; Czas: 1.8595 ms; Backtracki: 17;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.60; Czas: 1.9505 ms; Backtracki: 20;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.60; Czas: 2.0296 ms; Backtracki: 22;
