Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0048 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0046 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0042 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0038 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0035 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0036 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0035 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0040 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0036 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0033 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0036 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0054 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0052 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0054 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0056 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0052 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0047 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0049 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0051 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0047 ms;
